"Year","Segment","SegmentLabel","Category","per_100km"
2001,"albany-esperance","Albany–Esperance","Unaccompanied",11.4666582975915
2001,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",9.90442306573942
2001,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",13.6185817153917
2001,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",5.50589198994714
2001,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",4.26987542077533
2002,"albany-augusta","Augusta–Albany","Cow-calf pairs",1.14493374257049
2002,"albany-augusta","Augusta–Albany","Unaccompanied",1.14493374257049
2002,"albany-esperance","Albany–Esperance","Cow-calf pairs",4.88742812684229
2002,"albany-esperance","Albany–Esperance","Unaccompanied",10.1508122634417
2002,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",11.1424759489568
2002,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",20.2215304258846
2002,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",3.93277999281938
2002,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",6.74190855911894
2003,"albany-esperance","Albany–Esperance","Cow-calf pairs",4.69945012196374
2003,"albany-esperance","Albany–Esperance","Unaccompanied",12.7825043317414
2003,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",7.63465944650747
2003,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",14.2376081570004
2003,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",3.14622399425551
2003,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",0.786555998563876
2004,"albany-augusta","Augusta–Albany","Cow-calf pairs",0
2004,"albany-augusta","Augusta–Albany","Unaccompanied",0.572466871285243
2004,"albany-esperance","Albany–Esperance","Cow-calf pairs",5.26338413659939
2004,"albany-esperance","Albany–Esperance","Unaccompanied",8.83496622929184
2004,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",8.04734374091328
2004,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",8.04734374091328
2004,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",3.48331942221145
2004,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",5.84298741790308
2005,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.858700306927864
2005,"albany-augusta","Augusta–Albany","Unaccompanied",1.43116717821311
2005,"albany-esperance","Albany–Esperance","Cow-calf pairs",8.64698822441329
2005,"albany-esperance","Albany–Esperance","Unaccompanied",13.5344163512556
2005,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",13.4122395681888
2005,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",23.1103204867253
2005,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",7.19136912972687
2005,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",5.84298741790308
2006,"albany-augusta","Augusta–Albany","Cow-calf pairs",3.72103466335408
2006,"albany-augusta","Augusta–Albany","Unaccompanied",6.86960245542291
2006,"albany-esperance","Albany–Esperance","Cow-calf pairs",5.82731815123504
2006,"albany-esperance","Albany–Esperance","Unaccompanied",7.51912019514199
2006,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",10.5234495073481
2006,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",12.5868709793772
2006,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",7.30373427237885
2006,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",7.30373427237885
2007,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.858700306927864
2007,"albany-augusta","Augusta–Albany","Unaccompanied",1.43116717821311
2007,"albany-esperance","Albany–Esperance","Cow-calf pairs",3.57158209269245
2007,"albany-esperance","Albany–Esperance","Unaccompanied",10.9027242829559
2007,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",3.50781650244938
2007,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",9.90442306573942
2008,"albany-esperance","Albany–Esperance","Cow-calf pairs",10.9027242829559
2008,"albany-esperance","Albany–Esperance","Unaccompanied",6.57923017074924
2008,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",16.5073717762324
2008,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",16.7137139234353
2008,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",9.77576741072246
2008,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",11.7983399784581
2009,"albany-augusta","Augusta–Albany","Cow-calf pairs",1.14493374257049
2009,"albany-augusta","Augusta–Albany","Unaccompanied",3.72103466335408
2009,"albany-esperance","Albany–Esperance","Cow-calf pairs",9.58687824880604
2009,"albany-esperance","Albany–Esperance","Unaccompanied",8.83496622929184
2009,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",21.4595833091021
2009,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",27.2371634307834
2009,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",10.1128628386784
2009,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",10.7870536945903
2010,"albany-esperance","Albany–Esperance","Cow-calf pairs",6.39125216587069
2010,"albany-esperance","Albany–Esperance","Unaccompanied",15.038240390284
2010,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",10.5234495073481
2010,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",19.8088461314788
2010,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",5.61825713259912
2010,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",11.2365142651982
2011,"albany-augusta","Augusta–Albany","Cow-calf pairs",1.71740061385573
2011,"albany-augusta","Augusta–Albany","Unaccompanied",0
2011,"albany-esperance","Albany–Esperance","Cow-calf pairs",8.83496622929184
2011,"albany-esperance","Albany–Esperance","Unaccompanied",4.51147211708519
2011,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",17.332740365044
2011,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",13.6185817153917
2011,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",11.3488794078502
2011,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",12.809626262326
2012,"albany-esperance","Albany–Esperance","Cow-calf pairs",10.1508122634417
2012,"albany-esperance","Albany–Esperance","Unaccompanied",14.4743063756483
2012,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",14.6502924514062
2012,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",32.1893749636531
2012,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",8.98921141215859
2012,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",7.52846455768282
2013,"albany-augusta","Augusta–Albany","Cow-calf pairs",1.43116717821311
2013,"albany-augusta","Augusta–Albany","Unaccompanied",7.15583589106553
2013,"albany-esperance","Albany–Esperance","Cow-calf pairs",12.2185703171057
2013,"albany-esperance","Albany–Esperance","Unaccompanied",11.6546363024701
2013,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",18.5707932482614
2013,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",13.2058974209859
2013,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",9.66340226807048
2013,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",8.09029027094273
2014,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.572466871285243
2014,"albany-augusta","Augusta–Albany","Unaccompanied",0
2014,"albany-esperance","Albany–Esperance","Cow-calf pairs",7.33114219026344
2014,"albany-esperance","Albany–Esperance","Unaccompanied",7.51912019514199
2014,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",21.0468990146963
2014,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",14.4439503042033
2014,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",9.10157655481057
2014,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",7.86555998563876
2015,"albany-augusta","Augusta–Albany","Cow-calf pairs",1.14493374257049
2015,"albany-augusta","Augusta–Albany","Unaccompanied",6.86960245542291
2015,"albany-esperance","Albany–Esperance","Cow-calf pairs",5.26338413659939
2015,"albany-esperance","Albany–Esperance","Unaccompanied",14.2863283707698
2015,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",5.36489582727552
2015,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",29.7132691972182
2015,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",3.8204148501674
2015,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",7.52846455768282
2016,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.858700306927864
2016,"albany-augusta","Augusta–Albany","Unaccompanied",0.286233435642621
